Date,Open,High,Low,Close,Volume,AdjustedClose
20210503,800.000,800.000,780.000,785.000,10267100,785.000
20210504,785.000,790.000,775.000,775.000,9702500,775.000
20210505,780.000,790.000,775.000,780.000,7077200,780.000
20210506,780.000,785.000,775.000,775.000,3936600,775.000
20210507,780.000,785.000,770.000,775.000,6084000,775.000
20210510,775.000,780.000,770.000,775.000,7111300,775.000
20210511,775.000,780.000,770.000,775.000,3987600,775.000
20210517,775.000,780.000,765.000,770.000,7050000,770.000
20210518,780.000,780.000,765.000,780.000,7454400,780.000
20210519,780.000,780.000,765.000,765.000,4545300,765.000
20210520,765.000,775.000,765.000,770.000,4279700,770.000
20210521,770.000,775.000,765.000,765.000,3790500,765.000
20210524,770.000,775.000,765.000,770.000,4558800,770.000
20210525,770.000,775.000,765.000,770.000,9448100,770.000
20210527,770.000,775.000,765.000,770.000,9990900,770.000
20210528,770.000,775.000,765.000,765.000,4986300,765.000
20210531,770.000,775.000,765.000,775.000,7485100,775.000
20210602,775.000,785.000,770.000,780.000,4480800,780.000
20210603,780.000,785.000,775.000,775.000,7033400,775.000
20210604,775.000,780.000,775.000,775.000,5791600,775.000
20210607,775.000,780.000,770.000,780.000,6088900,780.000
20210608,780.000,780.000,770.000,770.000,5356100,770.000
20210609,775.000,775.000,765.000,765.000,3422100,765.000
20210610,765.000,775.000,760.000,775.000,9257600,775.000
20210611,775.000,775.000,770.000,775.000,2464900,775.000
20210614,775.000,775.000,765.000,770.000,2663900,770.000
20210615,770.000,770.000,760.000,765.000,5026300,765.000
20210616,765.000,770.000,760.000,760.000,4181500,760.000
20210617,760.000,765.000,750.000,755.000,7254500,755.000
20210618,755.000,755.000,730.000,745.000,20363000,745.000
20210621,745.000,750.000,720.000,730.000,20899900,730.000
20210622,735.000,745.000,730.000,735.000,9553800,735.000
20210623,735.000,745.000,730.000,730.000,11601100,730.000
20210624,730.000,740.000,730.000,740.000,7808800,740.000
20210625,740.000,745.000,725.000,730.000,7446600,730.000
20210628,730.000,735.000,715.000,720.000,13702200,720.000
20210629,720.000,730.000,715.000,720.000,7539400,720.000
20210630,720.000,725.000,710.000,710.000,14066800,710.000
20210701,710.000,760.000,705.000,750.000,12331800,750.000
20210702,750.000,760.000,740.000,750.000,4718400,750.000
20210705,750.000,760.000,740.000,750.000,5186200,750.000
20210706,750.000,760.000,740.000,760.000,7143300,760.000
20210707,760.000,765.000,750.000,755.000,2795600,755.000
20210708,760.000,760.000,750.000,750.000,8910800,750.000
20210709,750.000,755.000,740.000,750.000,5833000,750.000
